"","conf","seed","lower","upper"
"1",0.95,1,0.0075506163255391,0.384724331190736
"2",0.95,2,-0.000525285590361554,0.374808960052799
"3",0.95,3,-0.00610411058302089,0.390450630470093
"4",0.95,4,-0.0123687682456235,0.368321191675854
"5",0.95,5,-0.000760055000440587,0.38203888164633
"6",0.95,6,-0.00232076779427237,0.381026411534703
"7",0.95,7,0.00337058019620892,0.386835754440701
"8",0.95,8,-0.00831728089698817,0.380819230198634
"9",0.95,9,-0.0131011941074599,0.387611696437204
"10",0.95,10,0.0119308669289983,0.385101429590447
